=== Conversions (Line, Decimal → Binary, Hex) ===

Line  |  Decimal  |   Binary  |  Hex
------+-----------+-----------+-----
   1  |      -39  |  -100111  |  -27
   2  |      -36  |  -100100  |  -24
   3  |        8  |     1000  |    8
   4  |       34  |   100010  |   22
   5  |       17  |    10001  |   11
   6  |       49  |   110001  |   31
   7  |        5  |      101  |    5
   9  |        0  |        0  |    0
  10  |       33  |   100001  |   21
  11  |       12  |     1100  |    C
  12  |       -6  |     -110  |   -6
  13  |       27  |    11011  |   1B
  14  |       -4  |     -100  |   -4
  15  |      -38  |  -100110  |  -26
  16  |       26  |    11010  |   1A
  17  |       49  |   110001  |   31
  18  |       29  |    11101  |   1D
  19  |       42  |   101010  |   2A
  20  |      -16  |   -10000  |  -10
  22  |       34  |   100010  |   22
  23  |       20  |    10100  |   14
  24  |        0  |        0  |    0
  25  |       25  |    11001  |   19
  26  |       45  |   101101  |   2D
  27  |        3  |       11  |    3
  28  |      -46  |  -101110  |  -2E
  29  |      -46  |  -101110  |  -2E
  30  |       29  |    11101  |   1D
  31  |       33  |   100001  |   21
  32  |       29  |    11101  |   1D
  33  |       26  |    11010  |   1A
  34  |       -5  |     -101  |   -5
  35  |      -36  |  -100100  |  -24
  36  |       12  |     1100  |    C
  37  |       45  |   101101  |   2D
  38  |      -50  |  -110010  |  -32
  39  |        0  |        0  |    0
  40  |       -6  |     -110  |   -6

Total valid items: 38
Elapsed Time (seconds): 0.000371
